date,tmean_c,tmax_c,tmin_c,dtr_c,relative_humidity_pct,soil_moisture_0_7cm_m3m3,gdd_base10,heat_day_tmax_ge35,cold_day_tmin_lt13,available_grid_count
2023-04-22,28.585714285714285,34.857142857142854,24.142857142857142,10.714285714285712,75.28571428571429,0.24971428571428572,18.585714285714285,0,0,7
2023-04-23,28.042857142857144,32.84285714285714,24.214285714285715,8.628571428571426,76.57142857142857,0.23914285714285713,18.042857142857144,0,0,7
2023-04-24,21.685714285714287,25.571428571428573,18.5,7.071428571428573,86.85714285714286,0.3157142857142857,11.685714285714287,0,0,7
2023-04-25,17.52857142857143,19.785714285714285,15.314285714285715,4.47142857142857,75.28571428571429,0.35214285714285715,7.5285714285714285,0,0,7
2023-04-26,21.52857142857143,26.32857142857143,17.257142857142856,9.071428571428573,64.57142857142857,0.32642857142857146,11.528571428571428,0,0,7
2023-04-27,23.285714285714285,28.042857142857144,18.857142857142858,9.185714285714287,75.57142857142857,0.30428571428571427,13.285714285714285,0,0,7
2023-04-28,25.37142857142857,28.842857142857145,22.542857142857144,6.300000000000001,80.42857142857143,0.29742857142857143,15.37142857142857,0,0,7
2023-04-29,23.099999999999998,24.900000000000002,20.47142857142857,4.428571428571431,76.42857142857143,0.34785714285714286,13.099999999999998,0,0,7
2023-04-30,21.842857142857145,25.928571428571427,17.714285714285715,8.214285714285712,63.714285714285715,0.3385714285714286,11.842857142857145,0,0,7
2023-05-01,23.74285714285714,29.271428571428572,18.642857142857142,10.62857142857143,66.0,0.31128571428571433,13.74285714285714,0,0,7
2023-05-02,25.014285714285712,29.285714285714285,20.485714285714288,8.799999999999997,74.28571428571429,0.2924285714285714,15.014285714285712,0,0,7
2023-05-03,26.057142857142857,30.2,22.5,7.699999999999999,78.71428571428571,0.2845714285714286,16.057142857142857,0,0,7
2023-05-04,27.814285714285713,32.94285714285714,24.085714285714285,8.857142857142858,75.71428571428571,0.2745714285714286,17.814285714285713,0,0,7
2023-05-05,29.914285714285715,35.8,24.514285714285712,11.285714285714285,71.42857142857143,0.25785714285714284,19.914285714285715,1,0,7
2023-05-06,31.228571428571428,37.42857142857143,25.97142857142857,11.457142857142859,68.0,0.242,21.228571428571428,1,0,7
2023-05-07,24.97142857142857,26.985714285714288,23.285714285714285,3.700000000000003,85.14285714285714,0.2815714285714286,14.971428571428572,0,0,7
2023-05-08,20.457142857142856,22.785714285714285,18.914285714285715,3.87142857142857,82.28571428571429,0.3425714285714286,10.457142857142856,0,0,7
2023-05-09,22.442857142857143,25.900000000000002,19.2,6.700000000000003,81.71428571428571,0.3395714285714285,12.442857142857143,0,0,7
2023-05-10,24.75714285714286,27.571428571428573,22.599999999999998,4.971428571428575,89.85714285714286,0.35728571428571426,14.75714285714286,0,0,7
